Time,Source,Destination,Protocol,Length
1757861981.796968,192.168.75.71,192.168.75.10,TCP,1514
1757861981.796968,192.168.75.71,192.168.75.10,TCP,1514
1757861981.797007,192.168.75.10,192.168.75.71,TCP,66
1757861981.797338,192.168.75.71,192.168.75.10,TCP,1514
1757861981.797338,192.168.75.71,192.168.75.10,TCP,1514
1757861981.797374,192.168.75.10,192.168.75.71,TCP,66
1757861981.797641,192.168.75.71,192.168.75.10,TCP,1514
1757861981.797641,192.168.75.71,192.168.75.10,TCP,1514
1757861981.797732,192.168.75.10,192.168.75.71,TCP,66
1757861981.798015,192.168.75.71,192.168.75.10,TCP,1514
1757861981.798015,192.168.75.71,192.168.75.10,TCP,1514
1757861981.798078,192.168.75.10,192.168.75.71,TCP,66
1757861981.798454,192.168.75.71,192.168.75.10,TCP,1514
1757861981.798454,192.168.75.71,192.168.75.10,TCP,1514
1757861981.798523,192.168.75.10,192.168.75.71,TCP,66
1757861981.798813,192.168.75.71,192.168.75.10,TCP,1514
1757861981.798813,192.168.75.71,192.168.75.10,TCP,1514
1757861981.79886,192.168.75.10,192.168.75.71,TCP,66
1757861981.799126,192.168.75.71,192.168.75.10,TCP,1514
1757861981.799126,192.168.75.71,192.168.75.10,TCP,1514
1757861981.799174,192.168.75.10,192.168.75.71,TCP,66
1757861981.799554,192.168.75.71,192.168.75.10,TCP,1514
1757861981.799554,192.168.75.71,192.168.75.10,TCP,1514
1757861981.799631,192.168.75.10,192.168.75.71,TCP,66
1757861981.800035,192.168.75.71,192.168.75.10,TCP,1514
1757861981.800035,192.168.75.71,192.168.75.10,TCP,1514
1757861981.800097,192.168.75.10,192.168.75.71,TCP,66
1757861981.800312,192.168.75.71,192.168.75.10,TCP,1514
1757861981.800312,192.168.75.71,192.168.75.10,TCP,1514
1757861981.800367,192.168.75.10,192.168.75.71,TCP,66
1757861981.800661,192.168.75.71,192.168.75.10,TCP,1514
1757861981.800661,192.168.75.71,192.168.75.10,TCP,1514
1757861981.800713,192.168.75.10,192.168.75.71,TCP,66
1757861981.800985,192.168.75.71,192.168.75.10,TCP,1514
1757861981.801062,192.168.75.71,192.168.75.10,TCP,1514
1757861981.801102,192.168.75.10,192.168.75.71,TCP,66
1757861981.801327,192.168.75.71,192.168.75.10,TCP,1514
1757861981.801327,192.168.75.71,192.168.75.10,TCP,1514
1757861981.801382,192.168.75.10,192.168.75.71,TCP,66
1757861981.801734,192.168.75.71,192.168.75.10,TCP,1514
1757861981.801734,192.168.75.71,192.168.75.10,TCP,1514
1757861981.801792,192.168.75.10,192.168.75.71,TCP,66
1757861981.802151,192.168.75.71,192.168.75.10,TCP,1514
1757861981.802151,192.168.75.71,192.168.75.10,TCP,1514
1757861981.80222,192.168.75.10,192.168.75.71,TCP,66
1757861981.802461,192.168.75.71,192.168.75.10,TCP,1514
1757861981.80326,192.168.75.71,192.168.75.10,TCP,1514
1757861981.803322,192.168.75.10,192.168.75.71,TCP,66
1757861981.803568,192.168.75.71,192.168.75.10,TCP,1514
1757861981.803939,192.168.75.71,192.168.75.10,TCP,1514
1757861981.803939,192.168.75.71,192.168.75.10,TCP,1514
1757861981.803996,192.168.75.10,192.168.75.71,TCP,66
1757861981.804547,192.168.75.71,192.168.75.10,TCP,1514
1757861981.804605,192.168.75.10,192.168.75.71,TCP,66
1757861981.822805,192.168.75.71,192.168.75.10,TCP,1514
1757861981.822805,192.168.75.71,192.168.75.10,TCP,1514
1757861981.822805,192.168.75.71,192.168.75.10,TCP,1514
1757861981.822805,192.168.75.71,192.168.75.10,TCP,1514
1757861981.822983,192.168.75.10,192.168.75.71,TCP,66
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823286,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823554,192.168.75.10,192.168.75.71,TCP,66
1757861981.823767,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823767,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823767,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823767,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823836,192.168.75.10,192.168.75.71,TCP,66
1757861981.823932,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823932,192.168.75.71,192.168.75.10,TCP,1514
1757861981.823986,192.168.75.10,192.168.75.71,TCP,66
1757861981.824175,192.168.75.71,192.168.75.10,TCP,1514
1757861981.824175,192.168.75.71,192.168.75.10,TCP,1514
1757861981.824248,192.168.75.10,192.168.75.71,TCP,66
1757861981.824444,192.168.75.71,192.168.75.10,TCP,1514
1757861981.824444,192.168.75.71,192.168.75.10,TCP,1514
1757861981.824558,192.168.75.10,192.168.75.71,TCP,66
1757861981.824875,192.168.75.71,192.168.75.10,TCP,1514
1757861981.824875,192.168.75.71,192.168.75.10,TCP,1514
1757861981.824922,192.168.75.10,192.168.75.71,TCP,66
1757861981.825213,192.168.75.71,192.168.75.10,TCP,1514
1757861981.825213,192.168.75.71,192.168.75.10,TCP,1514
1757861981.825291,192.168.75.10,192.168.75.71,TCP,66
1757861981.825508,192.168.75.71,192.168.75.10,TCP,1514
1757861981.825882,192.168.75.71,192.168.75.10,TCP,1514
1757861981.825882,192.168.75.71,192.168.75.10,TCP,1514
1757861981.825942,192.168.75.10,192.168.75.71,TCP,66
1757861981.826142,192.168.75.71,192.168.75.10,TCP,1514
1757861981.826142,192.168.75.71,192.168.75.10,TCP,1514
1757861981.826182,192.168.75.10,192.168.75.71,TCP,66
1757861981.826489,192.168.75.71,192.168.75.10,TCP,1514
1757861981.826489,192.168.75.71,192.168.75.10,TCP,1514
1757861981.826561,192.168.75.10,192.168.75.71,TCP,66
1757861981.82689,192.168.75.71,192.168.75.10,TCP,1514
1757861981.82689,192.168.75.71,192.168.75.10,TCP,1514
1757861981.826992,192.168.75.10,192.168.75.71,TCP,66
1757861981.827171,192.168.75.71,192.168.75.10,TCP,1514
1757861981.827171,192.168.75.71,192.168.75.10,TCP,1514
1757861981.827219,192.168.75.10,192.168.75.71,TCP,66
1757861981.827698,192.168.75.71,192.168.75.10,TCP,1514
1757861981.827698,192.168.75.71,192.168.75.10,TCP,1514
